"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical"
Kenya,"175,176",,"3,396 ",,"120,031",,"51,749",113
Nigeria,"167,059",,"2,117 ",,"163,436",,"1,506",11
Cuba,"157,708","+1,470","1,087 ",+12,"149,759","+1,027","6,862",151
North Macedonia,"155,536",+8,"5,471 ",,"149,628",+9,437,25
S. Korea,"147,874",+452,"1,985 ",+3,"138,581",+544,"7,308",146
Myanmar,"145,603",+373,"3,244 ",+3,"132,928",+98,"9,431",
Latvia,"136,030",+90,"2,456 ",+5,"130,728",+180,"2,846",51
Algeria,"133,070",,"3,565 ",,"92,620",,"36,885",25
Albania,"132,459",+10,"2,453 ",,"129,842",+16,164,18
Estonia,"130,510",+37,"1,266 ",,"125,753",+38,"3,491",9
Norway,"128,046",+60,789 ,,"88,952",,"38,305",11
Zambia,"111,746","+1,414","1,389 ",+24,"97,756","+1,110","12,601",580
Kyrgyzstan,"110,370",+558,"1,890 ",+9,"102,633",+319,"5,847",102
Uzbekistan,"103,510",+304,708 ,+3,"99,416",+264,"3,386",23
Montenegro,"99,956",+28,"1,601 ",+3,"97,930",+41,425,60
Ghana,"94,493",,789 ,,"92,589",,"1,115",5
Finland,"93,821",+47,964 ,,"46,000",,"46,857",9
Afghanistan,"91,458","+1,597","3,612 ",+85,"61,410",+471,"26,436","1,124"
Cameroon,"80,090",,"1,310 ",,"77,305",,"1,475",152
Mongolia,"76,084","+2,188",365 ,+14,"56,947",+498,"18,772",126
El Salvador,"75,351",,"2,295 ",+3,"70,150",,"2,906",18
Cyprus,"73,115",,372 ,,"71,464",,"1,279",15
Mozambique,"71,461",,840 ,,"69,878",,743,17
Luxembourg,"70,406",,818 ,,"68,943",,645,3
Maldives,"70,077",,195 ,,"58,832",,"11,050",90
Namibia,"64,205",,993 ,,"54,137",,"9,075",62
Singapore,"62,276",+13,34 ,,"61,869",+31,373,1
Uganda,"61,977","+1,727",428 ,+5,"48,160",,"13,389",24
Botswana,"59,480",,896 ,,"55,617",,"2,967",1
Jamaica,"49,232",,996 ,,"27,365",,"20,871",11
Ivory Coast,"47,662",,306 ,,"47,178",,178,
Senegal,"41,998",+46,"1,154 ",+3,"40,536",+47,308,8
Madagascar,"41,933",+39,887 ,+5,"40,239",+26,807,97
Zimbabwe,"39,852",,"1,632 ",,"36,992",,"1,228",2
Cambodia,"38,427",+468,335 ,+15,"31,858",+636,"6,234",
Angola,"36,600",,825 ,,"30,207",,"5,568",9
Sudan,"36,304",+26,"2,732 ",+1,"29,994",+27,"3,578",
DRC,"35,228",+279,834 ,,"27,825",,"6,569",
Malawi,"34,485",,"1,159 ",,"32,725",,601,12
Cabo Verde,"31,571",,273 ,,"30,316",,982,23
Malta,"30,581",,419 ,,"30,103",+3,59,
Australia,"30,247",+10,910 ,,"29,189",,148,1
Trinidad and Tobago,"28,422",,656 ,,"18,431",,"9,335",22
Rwanda,"28,146",,370 ,,"26,341",,"1,435",7
Réunion,"27,235",,212 ,,"25,088",,"1,935",35
French Guiana,"25,506",,133 ,,"9,995",,"15,378",33
Syria,"24,789",,"1,808 ",,"21,668",,"1,313",
Gabon,"24,736",,156 ,,"23,741",,839,17
Guinea,"23,389",,167 ,,"21,452",,"1,770",24
Mayotte,"20,176",,173 ,,"2,964",,"17,039",6
Mauritania,"20,040",,475 ,,"19,092",,473,16
French Polynesia,"18,930",,142 ,,"18,749",,39,1
Eswatini,"18,732",,676 ,,"17,943",,113,10
Guyana,"18,303",,424 ,,"16,250",,"1,629",21
Suriname,"18,110",,393 ,,"13,811",,"3,906",35
Papua New Guinea,"16,682",+21,165 ,+1,"16,017",,500,7
Guadeloupe,"16,608",,225 ,,"2,250",,"14,133",23
Haiti,"16,356",+150,352 ,+3,"12,560",,"3,444",
Somalia,"14,779",,774 ,,"7,016",,"6,989",
Mali,"14,350",+1,523 ,,"9,959",+22,"3,868",
Andorra,"13,813",,127 ,,"13,591",,95,3
Togo,"13,597",,126 ,,"13,294",,177,
Burkina Faso,"13,459",,167 ,,"13,272",,20,
Tajikistan,"13,308",,90 ,,"13,218",,0,
Seychelles,"12,973",,46 ,,"11,634",,"1,293",
Belize,"12,938",,325 ,,"12,463",,150,2
Taiwan,"12,921",+175,437 ,+26,"1,133",,"11,351",
Curaçao,"12,293",,123 ,,"12,140",,30,4
Congo,"12,121",,160 ,,"11,211",,750,
Martinique,"12,110",,98 ,,98,,"11,914",5
Bahamas,"12,092",,236 ,,"11,081",,775,3
Hong Kong,"11,878",,210 ,,"11,598",+3,70,1
Djibouti,"11,572",,154 ,,"11,401",,17,
Aruba,"11,076",,107 ,,"10,951",,18,14
Lesotho,"10,859",,326 ,,"6,443",,"4,090",
South Sudan,"10,688",,115 ,,"10,514",,59,
Vietnam,"10,538",+297,59 ,+1,"3,998",+171,"6,481",
Equatorial Guinea,"8,650",,120 ,,"8,413",,117,1
Timor-Leste,"8,228",,18 ,,"6,630",,"1,580",
Benin,"8,109",,102 ,,"7,979",,28,5
Nicaragua,"7,662",,188 ,,"4,225",,"3,249",
CAR,"7,101",,98 ,,"6,859",,144,2
Yemen,"6,857",,"1,347 ",,"3,727",,"1,783",23
Iceland,"6,616",,30 ,,"6,543",,43,1
Gambia,"6,008",,180 ,,"5,813",,15,3
Niger,"5,446",,192 ,,"5,161",,93,2
Saint Lucia,"5,179",,80 ,,"4,984",,115,1
San Marino,"5,090",,90 ,,"4,998",,2,
Burundi,"4,995",,8 ,,773,,"4,214",
Chad,"4,942",,174 ,,"4,765",,3,
Eritrea,"4,848",,16 ,,"4,278",,554,
Sierra Leone,"4,349",,82 ,,"3,178",,"1,089",
Gibraltar,"4,312",+2,94 ,,"4,203",+2,15,
Channel Islands,"4,088",,86 ,,"3,956",,46,
Barbados,"4,036",,47 ,,"3,971",,18,
Comoros,"3,899",,146 ,,"3,736",,17,
Guinea-Bissau,"3,802",,69 ,,"3,545",,188,4
Liechtenstein,"3,026",,59 ,,"2,948",,19,3
New Zealand,"2,708",+6,26 ,,"2,655",+8,27,
Monaco,"2,524",,33 ,,"2,473",,18,1
Sint Maarten,"2,522",,31 ,,"2,419",,72,2
Bermuda,"2,497",,33 ,,"2,455",,9,7
Liberia,"2,484",,93 ,,"2,065",,326,2
Turks and Caicos,"2,421",,18 ,,"2,387",,16,2
Sao Tome and Principe,"2,358",+1,37 ,,"2,307",+1,14,
St. Vincent Grenadines,"2,147",,12 ,,"1,897",,238,2
Saint Martin,"2,040",,12 ,,"1,399",,629,7
Laos,"1,996",+6,3 ,,"1,862",+3,131,
Bhutan,"1,808",,1 ,,"1,440",,367,
Mauritius,"1,673",+77,18 ,,"1,247",+4,408,
Caribbean Netherlands,"1,619",,17 ,,"1,598",,4,
Isle of Man,"1,599",,29 ,,"1,563",,7,1
Antigua and Barbuda,"1,263",,42 ,,"1,214",,7,
Fiji,"1,118",+105,4 ,,312,+8,802,2
St. Barth,"1,005",,1 ,,462,,542,
Faeroe Islands,756,+1,1 ,,727,+8,28,
Diamond Princess,712,,13 ,,699,,0,
Cayman Islands,592,,2 ,,578,,12,
Tanzania,509,,21 ,,183,,305,7
Wallis and Futuna,445,,7 ,,438,,0,
Brunei ,248,,3 ,,239,,6,
British Virgin Islands,248,,1 ,,209,,38,
Dominica,189,, ,,188,,1,
Grenada,161,,1 ,,160,,0,
Saint Kitts and Nevis,155,, ,,61,,94,1
New Caledonia,128,, ,,58,,70,
Anguilla,109,, ,,109,,0,
Falkland Islands,63,, ,,63,,0,
Macao,52,, ,,51,,1,
Greenland,44,, ,,40,,4,
Vatican City,27,, ,,27,,0,
Saint Pierre Miquelon,25,, ,,25,,0,
Montserrat,20,,1 ,,19,,0,
Solomon Islands,20,, ,,20,,0,
Western Sahara,10,,1 ,,8,,1,
MS Zaandam,9,,2 ,,7,,0,
Vanuatu,4,,1 ,,3,,0,
Marshall Islands,4,, ,,4,,0,
Samoa,3,, ,,3,,0,
Saint Helena,2,, ,,2,,0,
Micronesia,1,, ,,1,,0,
China,"91,428",+34,"4,636 ",,"86,333",+21,459,13
